="",="Heterogeneity",="",="",=""
="",="(1)",="(2)",="(3)",="(4)"
="",="SD turnout (전구간: 9297/9702/0207/0712/1217/1722)",="SD conserv1_p (전구간: 9297/9702/0207/0712/1217/1722)",="SD turnout (전구간: 9297/9702/0207/0712/1217/1722)",="SD conserv1_p (전구간: 9297/9702/0207/0712/1217/1722)"
="Bartik X SD (empbase=2005)",="-1.308**",="2.209*",="-4.628",="8.709"
="",="(0.543)",="(1.144)",="(3.587)",="(6.221)"
="year==1997",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year==2002",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year==2007",="3.630",="6.871",="-2.720",="17.784"
="",="(4.500)",="(10.328)",="(8.533)",="(15.546)"
="year==2012",="3.355**",="-23.053***",="0.560",="-17.022**"
="",="(1.709)",="(3.730)",="(4.311)",="(8.089)"
="year==2017",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year==2022",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="share of population aged 65 and above",="-14.807",="145.777",="-37.320",="145.080"
="",="(45.440)",="(99.956)",="(66.669)",="(126.889)"
="share of college-educated",="-34.032",="258.568***",="-68.946",="314.280***"
="",="(32.311)",="(80.010)",="(45.206)",="(79.824)"
="N",="342",="342",="339",="339"
="r2",="0.383",="0.502",="-6.873",="-5.166"
="cdf",="6.880",="6.880",="0.403",="0.403"
="widstat",="8.162",="8.162",="1.514",="1.514"
="arf",="29.380",="9.959",="11.301",="14.526"
="arfp",="0.000",="0.002",="0.001",="0.000"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="",="Heterogeneity",="",="",=""
="",="(1)",="(2)",="(3)",="(4)"
="",="SD turnout (전구간: 9297/9702/0207/0712/1217/1722)",="SD conserv1_p (전구간: 9297/9702/0207/0712/1217/1722)",="SD turnout (전구간: 9297/9702/0207/0712/1217/1722)",="SD conserv1_p (전구간: 9297/9702/0207/0712/1217/1722)"
="Bartik X SD (empbase=2005)",="-1.398**",="2.708**",="-6.613",="16.921"
="",="(0.567)",="(1.251)",="(8.853)",="(21.217)"
="year==1997",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year==2002",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year==2007",="7.992**",="-3.296",="-2.438",="21.333"
="",="(3.541)",="(8.863)",="(11.101)",="(26.755)"
="year==2012",="7.033**",="-33.274***",="-2.721",="-10.595**"
="",="(3.178)",="(6.745)",="(2.146)",="(5.237)"
="year==2017",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year==2022",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="share of population aged 65 and above",="39.039",="10.231",="-30.157",="142.317"
="",="(32.810)",="(82.058)",="(76.230)",="(182.976)"
="share of college-educated",="16.904",="107.836",="-49.848",="281.547***"
="",="(40.968)",="(93.280)",="(47.633)",="(98.305)"
="N",="342",="342",="339",="339"
="r2",="-0.131",="-0.129",="-0.514",="-0.681"
="cdf",="4.850",="4.850",="2.002",="2.002"
="widstat",="9.865",="9.865",="0.496",="0.496"
="arf",="29.714",="16.549",="8.090",="7.362"
="arfp",="0.000",="0.000",="0.005",="0.008"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
