="",="Main2",="",="",=""
="",="(1)",="(2)",="(3)",="(4)"
="",="SD turnout (전구간: 9297/9702/0207/0712/1217/1722)",="SD conserv1_p (전구간: 9297/9702/0207/0712/1217/1722)",="SD turnout (전구간: 9297/9702/0207/0712/1217/1722)",="SD conserv1_p (전구간: 9297/9702/0207/0712/1217/1722)"
="Bartik X SD (empbase=2005)",="-1.410***",="2.566***",="-0.841***",="1.265**"
="",="(0.457)",="(0.976)",="(0.283)",="(0.591)"
="year==1997",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year==2002",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year==2007",="3.017",="7.989",="8.288***",="-2.969"
="",="(2.985)",="(6.796)",="(2.704)",="(7.064)"
="year==2012",="0.942",="-18.231***",="2.180*",="-22.616***"
="",="(1.201)",="(2.655)",="(1.137)",="(2.741)"
="year==2017",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year==2022",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="share of population aged 65 and above",="-13.975",="124.556*",="-7.034",="98.594*"
="",="(29.769)",="(66.219)",="(23.210)",="(53.236)"
="share of college-educated",="-49.426**",="282.942***",="-17.742",="253.417***"
="",="(25.174)",="(59.012)",="(24.584)",="(73.965)"
="N",="681",="681",="405",="405"
="r2",="0.139",="0.277",="0.649",="0.772"
="cdf",="9.675",="9.675",="7.510",="7.510"
="widstat",="12.943",="12.943",="19.966",="19.966"
="arf",="48.395",="23.008",="19.837",="7.072"
="arfp",="0.000",="0.000",="0.000",="0.009"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
