="Summary Statistics"
="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="Mean",="SD",="Min",="Max",="N"
="SD_turnout",="0.044",="0.055",="-0.043",="0.175",="678"
="SD_conserv1_p",="-0.040",="0.124",="-0.236",="0.257",="678"
="X_SD2005",="6.674",="9.842",="-0.054",="103.357",="678"
="IV_SD2005",="3.422",="7.557",="-11.029",="65.236",="678"
="aged_share",="0.169",="0.078",="0.044",="0.382",="678"
="college_share",="0.114",="0.063",="0.008",="0.357",="678"
="N",="678",="",="",="",=""
